record_no,date,datetime,forecast_no,point,warn_level,action,raw_action,wlobscd,kind,url,sphereLarge,codeWatershed,korStream,in_designFlood,coverageStream
10,2024-07-18,2024-07-18 04:30,홍수예보 제 2024-10호,연천군(사랑교),주의보,발령,홍수주의보 발령,1022680,0,https://w.floodmap.go.kr?wlobscd=1022680&kind=0,한강,102215,한탄강,Y,연천군(사랑교);연천군(임진교);철원군(삼합교)
9,2024-07-18,2024-07-18 04:20,홍수예보 제 2024-9호,포천시(은현교),주의보,발령,홍수주의보 발령,1022648,0,https://w.floodmap.go.kr?wlobscd=1022648&kind=0,한강,102209,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
8,2024-07-18,2024-07-18 04:10,홍수예보 제 2024-8호,동두천시(송천교),경보,변경,홍수경보 변경,1022668,3,https://w.floodmap.go.kr?wlobscd=1022668&kind=3,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
7,2024-07-18,2024-07-18 03:50,홍수예보 제 2024-7호,연천군(차탄교),주의보,발령,홍수주의보 발령,1022662,0,https://w.floodmap.go.kr?wlobscd=1022662&kind=0,한강,102214,차탄천,Y,연천군(보막교);연천군(차탄교)
6,2024-07-18,2024-07-18 02:50,홍수예보 제 2024-6호,포천시(포천대교),주의보,발령,홍수주의보 발령,1022647,0,https://w.floodmap.go.kr?wlobscd=1022647&kind=0,한강,102208,포천천,Y,포천시(가산교);포천시(은현교);포천시(지현교);포천시(포천대교)
5,2024-07-18,2024-07-18 02:50,홍수예보 제 2024-5호,연천군(신천교),주의보,발령,홍수주의보 발령,1022670,0,https://w.floodmap.go.kr?wlobscd=1022670&kind=0,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
4,2024-07-18,2024-07-18 02:20,홍수예보 제 2024-4호,파주시(만장교),경보,변경,홍수경보 변경,1023674,3,https://w.floodmap.go.kr?wlobscd=1023674&kind=3,한강,102305,문산천,Y,파주시(만장교);파주시(신우교);파주시(아가메교);파주시(전진교);파주시(주월교);파주시(통일대교)
3,2024-07-18,2024-07-18 02:10,홍수예보 제 2024-3호,파주시(만장교),주의보,발령,홍수주의보 발령,1023674,0,https://w.floodmap.go.kr?wlobscd=1023674&kind=0,한강,102305,문산천,Y,파주시(만장교);파주시(신우교);파주시(아가메교);파주시(전진교);파주시(주월교);파주시(통일대교)
2,2024-07-17,2024-07-17 10:10,홍수예보 제 2024-2호,가평군(대보교),주의보,발령,홍수주의보 발령,1015620,0,https://w.floodmap.go.kr?wlobscd=1015620&kind=0,한강,101504,조종천,Y,가평군(대보교);가평군(신상교);가평군(청평교)
1,2024-07-17,2024-07-17 08:30,홍수예보 제 2024-1호,동두천시(송천교),주의보,발령,홍수주의보 발령,1022668,0,https://w.floodmap.go.kr?wlobscd=1022668&kind=0,한강,102213,신천,Y,동두천시(송천교);양주시(발운2교);연천군(신천교)
