,korObs,korInst,sphereLarge,inOperation,methodObs,codeObs,codeWatershed,korStream_x,1차,2차,3차,4차,5차,6차,7차,8차,dateNotice,aFLAdvisory(m),aFLAdvisory(El.m),aFLAlert(m),aFLAlert(El.m),designFloodLevel(m),designFloodLevel(El.m),designFloodCharge(m3/sec),(El.m),heightEmbarkmentLeft(m),heightEmbarkmentLeft(El.m),heightEmbarkmentRight(m),heightEmbarkmentRight(El.m),widthRiver(m)
101,양평군(다문교),기후에너지환경부,한강,운영,T/M,1007695.0,100717,흑천,400.0,111.0,25.0,7.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,양평군(보룡교),기후에너지환경부,한강,운영,T/M,1007688.0,100716,흑천,324.0,74.0,17.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,양평군(봉상교),기후에너지환경부,한강,운영,T/M,1007690.0,100717,흑천,400.0,111.0,25.0,7.0,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,양평군(신원리),기후에너지환경부,한강,운영,T/M,1007697.0,100719,남한강,295.0,70.0,15.0,3.0,1.0,-,1.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,양평군(양평교),기후에너지환경부,한강,운영,T/M,1007685.0,100718,양평수위표,307.0,81.0,20.0,4.0,1.0,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,양평군(여물교),기후에너지환경부,한강,운영,T/M,1007687.0,100716,흑천,324.0,74.0,17.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,양평군(흑천교),기후에너지환경부,한강,운영,T/M,1007680.0,100717,흑천,400.0,111.0,25.0,7.0,1.0,1.0,-,-,24.04.23,3.5,34.79,4,35.29,6.5,37.79,"2,475",31.29,6.89,38.18,6.89,38.18,-
108,여주보(상류),기후에너지환경부,한강,운영,T/M,1007639.0,100709,여주보,265.0,83.0,24.0,6.0,1.0,-,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,여주보(하류),기후에너지환경부,한강,운영,T/M,1007641.0,100710,양화천,589.0,165.0,44.0,8.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,여주시(강천리),기후에너지환경부,한강,운영,T/M,1007620.0,100706,강천보,329.0,87.0,19.0,5.0,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,여주시(남한강교),기후에너지환경부,한강,운영,T/M,1007625.0,100706,강천보,329.0,87.0,19.0,5.0,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,여주시(당우교),기후에너지환경부,한강,운영,T/M,1007637.0,100707,금당천,392.0,113.0,27.0,5.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,여주시(삼합교),기후에너지환경부,한강,운영,T/M,1007617.0,100706,강천보,329.0,87.0,19.0,5.0,-,1.0,-,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,여주시(양촌교),기후에너지환경부,한강,운영,T/M,1007655.0,100710,양화천,589.0,165.0,44.0,8.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,여주시(여주대교),기후에너지환경부,한강,운영,T/M,1007635.0,100709,여주보,265.0,83.0,24.0,6.0,1.0,-,-,1.0,12.05.15,6,38.53,8,40.53,9.19,41.72,"16,070",32.53,14.6,47.13,14.59,47.12,502
116,여주시(용은교),기후에너지환경부,한강,운영,T/M,1007626.0,100710,양화천,589.0,165.0,44.0,8.0,2.0,1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,여주시(원부교),기후에너지환경부,한강,운영,T/M,1007615.0,100706,강천보,329.0,87.0,19.0,5.0,-,1.0,-,1.0,18.04.09,5.5,56.45,6.5,57.45,7.63,58.58,"2,755",50.95,8.49,59.44,9.38,60.33,-
118,여주시(율극교),기후에너지환경부,한강,운영,T/M,1007640.0,100711,이포보,395.0,106.0,18.0,4.0,1.0,2.0,-,1.0,24.04.23,4.5,36.56,5.5,37.56,6.71,38.77,"1,395",32.06,9.58,41.64,9.58,41.64,-
119,여주시(흥천대교),기후에너지환경부,한강,운영,T/M,1007650.0,100714,복하천,146.0,40.0,9.0,2.0,-,1.0,-,-,20.05.06,6.2,37.74,6.9,38.44,7.4,38.94,"2,170",31.54,9.96,41.5,9.29,40.83,-
