대권역,관측소 명,운영 여부,관측 방법,관측소 코드,표준유역 코드,관할 기관
한강,인제군(어두원교),운영,T/M,1011650,101103,한국수자원공사
한강,인제군(원통리),운영,T/M,1011690,101103,한국수자원공사
한강,인제군(도리촌교),운영,T/M,1011693,101104,한국수자원공사
한강,인제군(리빙스턴교),운영,T/M,1011695,101104,기후에너지환경부
한강,홍천군(가덕교),운영,T/M,1012625,101201,기후에너지환경부
한강,인제군(왕성동교),운영,T/M,1012630,101201,기후에너지환경부
한강,인제군(양지교),운영,T/M,1012635,101202,기후에너지환경부
한강,인제군(진동2교),운영,T/M,1012638,101204,기후에너지환경부
한강,인제군(서호교),운영,T/M,1012639,101203,기후에너지환경부
한강,인제군(현리교),운영,T/M,1012640,101204,기후에너지환경부
한강,인제군(하죽천교),운영,T/M,1012645,101205,기후에너지환경부
한강,인제군(원대교),운영,T/M,1012650,101205,한국수자원공사
한강,인제군(살구미교),운영,T/M,1012657,101206,한국수자원공사
한강,인제군(양구교),운영,T/M,1012670,101206,한국수자원공사
한강,춘천시(천전리),운영,T/M,1012685,101208,기후에너지환경부
한강,춘천시(소양6교),운영,T/M,1012688,101208,한국수자원공사
한강,춘천시(효자교),운영,T/M,1013610,101301,기후에너지환경부
한강,목동교,운영,T/M,1013620,101306,한국수력원자력
한강,춘천시(소양2교),운영,T/M,1013637,101302,기후에너지환경부
한강,춘천시(팔미3교),운영,T/M,1013643,101303,기후에너지환경부
한강,춘천시(강촌교),운영,T/M,1013645,101304,기후에너지환경부
한강,가평군(제령교),운영,T/M,1013650,101306,기후에너지환경부
한강,가평군(화악교),운영,T/M,1013651,101306,기후에너지환경부
한강,가평군(가평교),운영,T/M,1013655,101306,기후에너지환경부
한강,홍천군(용호대교),운영,T/M,1014618,101402,기후에너지환경부
한강,홍천군(용선교),운영,T/M,1014620,101402,기후에너지환경부
한강,홍천군(지다치교),운영,T/M,1014622,101403,기후에너지환경부
한강,홍천군(주음치교),운영,T/M,1014630,101404,기후에너지환경부
한강,홍천강(성포교),운영,T/M,1014635,101404,한국수력원자력
한강,홍천군(군업1교),운영,T/M,1014637,101405,기후에너지환경부
한강,홍천군(굴운교),운영,T/M,1014640,101406,기후에너지환경부
한강,홍천군(귀미뜰교),운영,T/M,1014645,101407,기후에너지환경부
한강,홍천군(홍천교),운영,T/M,1014650,101408,기후에너지환경부
한강,홍천군(화계교),운영,T/M,1014652,101409,기후에너지환경부
한강,홍천군(용수교),운영,T/M,1014664,101411,기후에너지환경부
한강,홍천군(남노일대교),운영,T/M,1014665,101410,기후에너지환경부
한강,홍천군(반곡교),운영,T/M,1014680,101412,기후에너지환경부
한강,춘천시(충의대교),운영,T/M,1014690,101414,기후에너지환경부
한강,한덕교,운영,T/M,1014695,101413,한국수력원자력
한강,홍천군(모곡교),운영,T/M,1014696,101413,기후에너지환경부
한강,가평군(신상교),운영,T/M,1015611,101503,기후에너지환경부
한강,가평군(대보교),운영,T/M,1015620,101504,기후에너지환경부
한강,산장제1교,운영,T/M,1015630,101504,한국수력원자력
한강,가평군(선촌2교),운영,T/M,1015636,101501,기후에너지환경부
한강,가평군(청평댐),운영,T/M,1015640,101502,기후에너지환경부
한강,가평군(청평교),운영,T/M,1015644,101504,기후에너지환경부
한강,가평군(신청평대교),운영,T/M,1015645,101506,기후에너지환경부
한강,가평군(오류동교),운영,T/M,1015655,101505,기후에너지환경부
한강,남양주시(삼봉리),운영,T/M,1015680,101508,기후에너지환경부
한강,용인시(마전교),운영,T/M,1016601,101601,기후에너지환경부
한강,광주시(동림3교),운영,T/M,1016606,101602,기후에너지환경부
한강,용인시(월촌교),운영,T/M,1016607,101601,기후에너지환경부
한강,광주시(오포대교),운영,T/M,1016645,101603,기후에너지환경부
한강,광주시(경안교),운영,T/M,1016650,101603,기후에너지환경부
한강,광주시(파발교),운영,T/M,1016651,101603,기후에너지환경부
한강,경안교,운영,T/M,1016655,101603,한국수력원자력
