수계,하천명 ,본류,하천코드,하천등급,시도기점,시군구기점,읍면동기점,경계기점,시도종점,시군구종점,읍면동종점,경계종점
한강,음성천,한강,1021100,지방,충북,음성,음성,용산리 748-2번지,충북,괴산,불정,달천(국가) 합류점
한강,소여천,한강,1021110,지방,충북,음성,음성,소여리,충북,음성,음성,음성천(지방) 합류점
한강,구안천,한강,1021120,지방,충북,음성,원남,구안리 341번지,충북,음성,음성,음성천(지방) 합류점
한강,한벌천,한강,1021130,지방,충북,음성,음성,한벌리 313-3번지,충북,충주,상모,음성천(지방) 합류점
한강,석문동천,한강,1021140,지방,충북,충주,상모,사문리 567,충북,충주,살미,달천(국가) 합류점
한강,오가천,한강,1021150,지방,충북,괴산,장연,오가리 873-1,충북,괴산,장연,석문동천(지방) 합류점
한강,설운천,한강,1021160,지방,충북,충주,살미,설운리 147-3,충북,충주,살미,달천(국가) 합류점
한강,요도천,한강,1021170,지방,충북,음성,읍성,"용산리 산180, 소류지",충북,충주,용두,달천(국가) 합류점
한강,비산천,한강,1021180,지방,충북,음성,소이,"비산리101-4, 무명교",충북,충주,주덕,요도천(지방) 합류점
한강,영평천,한강,1021190,지방,충북,충주,주덕,화곡리 1102,충북,충주,대소원,요도천(지방) 합류점
